Id,outfit_image,description,outfit,occasions,seasons
11,https://storage.googleapis.com/raven-media-bucket/image/outfits/11.jpeg,"a refined and polished take on casual attire, blending comfort and sophistication. It involves carefully curated, high-quality pieces that elevate the overall look while maintaining a relaxed and approachable vibe. This style typically incorporates well-fitted, tailored clothing like slim-cut trousers, premium denim, button-up shirts, knitwear, and smart footwear like loafers or clean sneakers. The use of elevated fabrics, subtle patterns, tasteful accessories, and attention to details adds an extra touch of sophistication to create a polished yet effortless appearance.","Hair: Neatly styled, with a side part or a quiff.
Top: A light gray linen button-up shirt, sleeves rolled up.
Bottom: Tailored navy blue chinos.
Shoes: White leather sneakers.
Accessories: A navy blue bomber jacket, a woven belt, and a patterned pocket square.","Summer barbecue, Beach party, Vacation, Casual gathering, Outdoor festival, Weekend outing, Picnic, Casual Friday at work, Casual shopping, Yacht club","summer, hot"
12,https://storage.googleapis.com/raven-media-bucket/image/outfits/12.jpeg,"a refined and polished take on casual attire, blending comfort and sophistication. It involves carefully curated, high-quality pieces that elevate the overall look while maintaining a relaxed and approachable vibe. This style typically incorporates well-fitted, tailored clothing like slim-cut trousers, premium denim, button-up shirts, knitwear, and smart footwear like loafers or clean sneakers. The use of elevated fabrics, subtle patterns, tasteful accessories, and attention to details adds an extra touch of sophistication to create a polished yet effortless appearance.","Hair: Slightly messy, textured hairstyle with a natural look.
Top: A beige cashmere crew neck sweater.
Bottom: Light gray tailored trousers.
Shoes: Brown suede loafers.
Accessories: A camel-colored suede jacket, a leather belt, and a simple beaded bracelet.","Business casual workday, Dinner date, Networking event, Cocktail party, Church, Art gallery, Theatre, Wedding guest, Family gathering, Seminar","fall, winter, cold"
13,https://storage.googleapis.com/raven-media-bucket/image/outfits/13.jpeg,"It’s sort of a departure from style because it’s a look that’s all about comfort rather than looks. Bright, bold prints like Hawaiian shirt designs, neon colors, and beachy motifs are just right. Shorts, button-up shirts, tank tops, and sandals will give you a beach bum look every time.","Hair: Sun-kissed, tousled hairstyle with a natural beachy wave.
Top: A loose-fitting white linen button-up shirt, left unbuttoned.
Bottom: Light blue or white board shorts.
Footwear: Flip-flops or casual slip-on sandals.
Accessories: A woven straw hat, a colorful beaded bracelet, and polarized sunglasses.","Beach party, Summer barbecue, Vacation, Day at the beach, Casual summer gathering, Pool party, Music festival, Weekend outing, Picnic, Cruise","summer, hot"
14,https://storage.googleapis.com/raven-media-bucket/image/outfits/14.jpeg,"It’s sort of a departure from style because it’s a look that’s all about comfort rather than looks. Bright, bold prints like Hawaiian shirt designs, neon colors, and beachy motifs are just right. Shorts, button-up shirts, tank tops, and sandals will give you a beach bum look every time.","Hair: Long, flowing beach waves or a messy bun.
Top: A graphic tank top or a colorful Hawaiian-print short-sleeve shirt.
Bottom: Relaxed-fit denim shorts or cargo shorts.
Footwear: Canvas espadrilles or comfortable slip-on sneakers.
Accessories: A woven tote bag, a surfer-style necklace or shell necklace, and a baseball cap.","Beach party, Summer barbecue, Vacation, Day at the beach, Casual summer gathering, Pool party, Music festival, Weekend outing, Picnic, Cruise","summer, hot"
15,https://storage.googleapis.com/raven-media-bucket/image/outfits/15.jpeg,"It’s sort of a departure from style because it’s a look that’s all about comfort rather than looks. Bright, bold prints like Hawaiian shirt designs, neon colors, and beachy motifs are just right. Shorts, button-up shirts, tank tops, and sandals will give you a beach bum look every time.","Hair: Relaxed, beachy curls or a low ponytail.
Top: A lightweight, striped short-sleeve shirt.
Bottom: Khaki or beige linen trousers or joggers.
Footwear: Leather sandals or boat shoes without socks.
Accessories: A woven straw fedora hat, a beaded anklet, and aviator sunglasses.","Beach party, Summer barbecue, Vacation, Day at the beach, Casual summer gathering, Pool party, Music festival, Weekend outing, Picnic, Cruise","summer, hot"
16,https://storage.googleapis.com/raven-media-bucket/image/outfits/16.jpeg,"The popularity of streetwear, with brands like Supreme, Off-White, and Stüssy, might have continued to thrive. This typically includes graphic tees, designer sneakers, and accessories like hats and bags.","Top: Oversized graphic hoodie in a bold color or with a unique print.
Bottom: Distressed skinny jeans or joggers.
Footwear: Chunky sneakers or high-top sneakers.
Accessories: Snapback cap, statement socks, and a crossbody bag.","Casual gathering, Concert, Casual shopping, Movie night, Sport event, Weekend outing, City exploration, Skate park, Music festival, Road trip","spring, summer, fall, mild"
17,https://storage.googleapis.com/raven-media-bucket/image/outfits/17.jpeg,"The popularity of streetwear, with brands like Supreme, Off-White, and Stüssy, might have continued to thrive. This typically includes graphic tees, designer sneakers, and accessories like hats and bags.","Top: Graphic t-shirt with a retro design or a logo of a streetwear brand.
Layering: Lightweight bomber jacket or denim jacket.
Bottom: Cargo pants or track pants with sporty details.
Footwear: Skate shoes or athletic-inspired sneakers.
Accessories: Beanie, sunglasses, and a backpack or sling bag.","Casual gathering, Concert, Casual shopping, Movie night, Sport event, Weekend outing, City exploration, Skate park, Music festival, Road trip","spring, summer, fall, mild"
18,https://storage.googleapis.com/raven-media-bucket/image/outfits/18.jpeg,"The popularity of streetwear, with brands like Supreme, Off-White, and Stüssy, might have continued to thrive. This typically includes graphic tees, designer sneakers, and accessories like hats and bags.","Top: Oversized longline t-shirt in a neutral color.
Layering: Oversized flannel shirt or a denim shirt.
Bottom: Ripped jeans or distressed denim shorts.
Footwear: High-top sneakers or combat boots.
Accessories: Dad cap or beanie, chain necklace, and a fanny pack.","Casual gathering, Concert, Casual shopping, Movie night, Sport event, Weekend outing, City exploration, Skate park, Music festival, Road trip","spring, summer, fall, mild"
19,https://storage.googleapis.com/raven-media-bucket/image/outfits/19.jpeg,"""chav"" style is associated with urban, working-class youth and is often seen as a statement of street culture and anti-establishment attitudes. It typically features sportswear and athleisure, such as tracksuits, baseball caps, and sneakers, with brands like Burberry, Adidas, and Nike being particularly popular. Gold jewelry, especially chunky chains, hoop earrings, and large rings, also plays a significant role in this style, adding to its flashy, ostentatious persona.","Hair: Styled with a buzz cut or a fade.
Top: Oversized hoodie or tracksuit top in a bold color or with a logo.
Bottom: Matching tracksuit bottoms or joggers.
Footwear: Chunky trainers or sneakers.
Accessories: Baseball cap, gold chains, and a small backpack.","Gym, Casual gathering, Casual Friday at work, Road trip, Sport event, Weekend outing, Concert, Casual shopping, Movie night, Streetwear event","spring, summer, fall, mild"
20,https://storage.googleapis.com/raven-media-bucket/image/outfits/20.jpeg,"""chav"" style is associated with urban, working-class youth and is often seen as a statement of street culture and anti-establishment attitudes. It typically features sportswear and athleisure, such as tracksuits, baseball caps, and sneakers, with brands like Burberry, Adidas, and Nike being particularly popular. Gold jewelry, especially chunky chains, hoop earrings, and large rings, also plays a significant role in this style, adding to its flashy, ostentatious persona.","Hair: Short on the sides, styled with a messy textured top.
Top: Graphic t-shirt or a polo shirt with a logo.
Layering: Zip-up or half-zip hoodie.
Bottom: Straight or slim-fit jeans, slightly distressed.
Footwear: Classic trainers or skate shoes.
Accessories: Snapback cap, sunglasses, and a crossbody bag.","Gym, Casual gathering, Casual Friday at work, Road trip, Sport event, Weekend outing, Concert, Casual shopping, Movie night, Streetwear event","spring, summer, fall, mild"
21,https://storage.googleapis.com/raven-media-bucket/image/outfits/21.jpeg,"""chav"" style is associated with urban, working-class youth and is often seen as a statement of street culture and anti-establishment attitudes. It typically features sportswear and athleisure, such as tracksuits, baseball caps, and sneakers, with brands like Burberry, Adidas, and Nike being particularly popular. Gold jewelry, especially chunky chains, hoop earrings, and large rings, also plays a significant role in this style, adding to its flashy, ostentatious persona.","Hair: Styled with a swept-back or spiky look.
Top: Bomber jacket or a varsity jacket.
Layering: Plain or striped t-shirt.
Bottom: Baggy jeans or cargo pants.
Footwear: High-top sneakers or boots.
Accessories: Baseball cap worn backward, a chain necklace, and a beanie.","Casual gathering, Concert, Sport event, Weekend outing, Casual shopping, City exploration, Skate park, Music festival, Road trip, Streetwear event","spring, summer, fall, mild"
22,https://storage.googleapis.com/raven-media-bucket/image/outfits/22.jpeg,"With a focus on functional designs and technological fabrics, techwear combines aesthetics and functionality. The style emphasizes mobility, weather resistance, and storage options, often featuring a futuristic look.","Top: Lightweight, moisture-wicking black performance t-shirt.
Layering: Technical windbreaker or a waterproof shell jacket with multiple zippered pockets.
Bottom: Tapered joggers or cargo pants with integrated utility features.
Footwear: Sleek, all-black sneakers or lightweight hiking boots with a rugged sole.
Accessories: Tactical-style backpack with MOLLE attachments, a tech-inspired watch, and a black face mask.","Outdoor adventure, Hiking, Camping, Sport event, Tactical training, Gym, Casual Friday at work, Urban exploration, Walking the dog, Paintball event","spring, fall, mild"
23,https://storage.googleapis.com/raven-media-bucket/image/outfits/23.jpeg,"With a focus on functional designs and technological fabrics, techwear combines aesthetics and functionality. The style emphasizes mobility, weather resistance, and storage options, often featuring a futuristic look.","Top: Tech-inspired, high-performance long-sleeve shirt or base layer.
Layering: Tech fleece jacket with zippered pockets and thermal insulation.
Bottom: Slim-fit black trousers with stretch and water-repellent properties.
Footwear: Urban hiking boots or all-terrain sneakers with waterproofing.
Accessories: Tactical sling bag, high-tech sunglasses with polarized lenses, and a multi-tool bracelet.","Outdoor adventure, Hiking, Camping, Sport event, Tactical training, Gym, Casual Friday at work, Urban exploration, Walking the dog, Paintball event","spring, fall, mild"
24,https://storage.googleapis.com/raven-media-bucket/image/outfits/24.jpeg,"With a focus on functional designs and technological fabrics, techwear combines aesthetics and functionality. The style emphasizes mobility, weather resistance, and storage options, often featuring a futuristic look.","Top: Moisture-wicking, compression-fit black t-shirt with a futuristic pattern.
Layering: Lightweight, packable down jacket or a vest with heat-retention properties.
Bottom: Technical cargo pants or joggers with reinforced knees and waterproofing.
Footwear: Water-resistant trail running shoes or lightweight boots with advanced traction.
Accessories: Reflective beanie, modular tech pouch for gear organization, and fingerless gloves with touchscreen compatibility.","Outdoor adventure, Hiking, Camping, Sport event, Tactical training, Gym, Urban exploration, Casual Friday at work, Walking the dog, Paintball event","spring, fall, mild"
25,https://storage.googleapis.com/raven-media-bucket/image/outfits/25.jpeg,"a semi-formal dress code that bridges the gap between casual and formal, often required for events like evening parties, wedding receptions, or upscale dinners. It typically involves a dark or mid-toned suit, a dress shirt, and a tie, although the tie can sometimes be optional depending on the event. Leather dress shoes are a must, and accessories should be kept tasteful and minimal, such as a classic wristwatch or a pocket square to add a pop of color or pattern.","Attire: A tailored black suit with a slim-fit, single-breasted jacket and matching trousers.
Shirt: Crisp white dress shirt with a spread or point collar.
Footwear: Polished black dress shoes.
Accessories: A black silk bow tie, a white pocket square, and a silver wristwatch.","Formal event, Wedding, Opera, Charity event, Awards ceremony, Formal dinner, Funeral, Black tie event","spring, fall, mild"
26,https://storage.googleapis.com/raven-media-bucket/image/outfits/26.jpeg,"a semi-formal dress code that bridges the gap between casual and formal, often required for events like evening parties, wedding receptions, or upscale dinners. It typically involves a dark or mid-toned suit, a dress shirt, and a tie, although the tie can sometimes be optional depending on the event. Leather dress shoes are a must, and accessories should be kept tasteful and minimal, such as a classic wristwatch or a pocket square to add a pop of color or pattern.","Attire: Navy blue tailored blazer paired with charcoal gray trousers.
Shirt: Light blue dress shirt with a spread or button-down collar.
Footwear: Brown leather dress shoes or suede loafers.
Accessories: A patterned silk necktie, a patterned pocket square, and a leather belt.","Formal event, Business meeting, Wedding, Opera, Charity event, Awards ceremony, Formal dinner, Funeral, Job interview, Black tie event","spring, fall, mild"
27,https://storage.googleapis.com/raven-media-bucket/image/outfits/27.jpeg,"a semi-formal dress code that bridges the gap between casual and formal, often required for events like evening parties, wedding receptions, or upscale dinners. It typically involves a dark or mid-toned suit, a dress shirt, and a tie, although the tie can sometimes be optional depending on the event. Leather dress shoes are a must, and accessories should be kept tasteful and minimal, such as a classic wristwatch or a pocket square to add a pop of color or pattern.","Attire: Charcoal gray slim-fit suit with a double-breasted jacket and flat-front trousers.
Shirt: Light gray or pale pink dress shirt with a cutaway or semi-spread collar.
Footwear: Black or dark brown leather monk strap shoes.
Accessories: A patterned silk tie, a pocket square with a pop of color, and a statement wristwatch.","Formal event, Business meeting, Wedding, Opera, Charity event, Awards ceremony, Formal dinner, Funeral, Job interview, Black tie event","spring, fall, mild"
28,https://storage.googleapis.com/raven-media-bucket/image/outfits/28.jpeg,"Sports Luxe: Blending sportswear and luxury elements, sports luxe style combines athletic-inspired clothing like joggers, hoodies, and sneakers with high-end fabrics, tailored cuts, and refined details.","Top: A sleek, zip-up track jacket in a solid color like black or navy.
Bottom: Tapered joggers or track pants with a contrasting side stripe.
Footwear: Clean white leather sneakers or chunky athletic shoes.
Accessories: A baseball cap or dad cap with a sportswear logo, and a small crossbody bag.","Gym, Casual Friday at work, Casual shopping, Sport event, Weekend outing, Road trip, Casual gathering, Movie night, Walking the dog, Music festival","spring, fall, mild"
29,https://storage.googleapis.com/raven-media-bucket/image/outfits/29.jpeg,"Sports Luxe: Blending sportswear and luxury elements, sports luxe style combines athletic-inspired clothing like joggers, hoodies, and sneakers with high-end fabrics, tailored cuts, and refined details.","Top: A graphic sweatshirt or hoodie with a sporty design or logo.
Bottom: Slim-fit track pants or leggings with mesh paneling.
Footwear: Athletic-inspired sneakers with a platform sole or a touch of metallic detailing.
Accessories: Sporty sunglasses, a waist bag worn crossbody style, and a sleek digital watch.","Gym, Casual Friday at work, Casual shopping, Sport event, Weekend outing, Road trip, Casual gathering, Movie night, Walking the dog, Music festival","spring, fall, mild"
30,https://storage.googleapis.com/raven-media-bucket/image/outfits/30.jpeg,"Sports Luxe: Blending sportswear and luxury elements, sports luxe style combines athletic-inspired clothing like joggers, hoodies, and sneakers with high-end fabrics, tailored cuts, and refined details.","Top: A bomber jacket with athletic-inspired details like striped ribbed cuffs and collar.
Layering: A performance fabric long-sleeve shirt or a lightweight sweat-wicking top.
Bottom: Stretchy black leggings or bike shorts.
Footwear: Slip-on sock sneakers or futuristic-inspired trainers.
Accessories: Sporty headband or visor, reflective sunglasses, and a color-blocked backpack.","Gym, Casual Friday at work, Casual shopping, Sport event, Weekend outing, Road trip, Casual gathering, Walking the dog, Music festival, City exploration","spring, fall, mild"
31,https://storage.googleapis.com/raven-media-bucket/image/outfits/31.jpeg,"Semi-formal outfit, featuring an unstructured blazer paired with denim jeans and casual shoes.","• navy or gray unstructured blazer
• blk or navy & white polo or tee
• dk wash or raw indigo denim jeans
• black belt
• black, white, or gray casual boot/shoes/dress sneakers","Business meetings, Office wear, Semi-formal parties, Professional networking events, Dinners, Weddings, Church, Conferences, Art galleries, Museums.",Year-round
32,https://storage.googleapis.com/raven-media-bucket/image/outfits/32.jpeg,A casual yet smart outfit featuring a relaxed blazer and white sneakers.,"* gray menswear relaxed blazer
• blue plaid button down shirt
• khaki chinos/5 pocket bottoms
• brown belt
• white leather sneakers","Casual Fridays at work, Brunches, Dinners, Movie dates, Shopping, Casual parties, Museum visits, Casual business meetings, Family gatherings, Day trips.","Spring, Fall
"
33,https://storage.googleapis.com/raven-media-bucket/image/outfits/33.jpeg,Relaxed summer outfit with a graphic print camp shirt and cargo shorts.,"• graphic print camp shirt
• white or black tee/tank top
• silver long necklace
• black, white, or chambray cargo shorts
• graphic color hype sneakers/sandals","Beach parties, BBQ parties, Picnics, Summer festivals, Outdoor sports events, Amusement parks, Pool parties, Casual weekend outings, Road trips, Boating.",Summer
34,https://storage.googleapis.com/raven-media-bucket/image/outfits/34.jpeg,A semi-formal evening outfit featuring a relaxed blazer and leather sneakers.,"• navy relaxed blazer
• gray polo/tee
• dark wash indigo jeans
• brown belt
• brown leather sneakers","Dinner dates, Parties, Night outs, Concerts, Art galleries, Cocktail events, Casual weddings, Reunions, Wine tastings, Theater.",Year-round
35,https://storage.googleapis.com/raven-media-bucket/image/outfits/35.jpeg,"Stylish urban outfit with a neutral hoodie, cargo pants, and sneakers.","• olive, burgundy, black, or navy bomber/aviator jacket
• neutral hoodie, zip front and pullover
• neutral tee
• khaki, indigo, or dark gray cargo pants
• white or color sneakers","Streetwear occasions, Night out, Concerts, Casual parties, Sport events, Shopping, University lectures, Hangouts, Urban exploration, Movies.","Spring, Fall, Mild Winter days"
36,https://storage.googleapis.com/raven-media-bucket/image/outfits/36.jpeg,Light and breezy outfit featuring a plaid camp shirt and khaki shorts.,"• madras plaid camp shirt
• white tee/tank top
• khaki shorts
• coordinating canvas ball cap
• white or color canvas sneakers","Beach parties, Vacations, BBQ parties, Outdoor sports events, Picnics, Boating, Summer festivals, Pool parties, Casual weekend outings, Amusement parks.",Summer
37,https://storage.googleapis.com/raven-media-bucket/image/outfits/37.jpeg,A classic suit ensemble suitable for formal occasions.,"• gray menswear suit
• blue button down shirt
• silk repp tie (optional)
• black belt
• black dress shoes/chelsea boot","Business meetings, Formal parties, Office wear, Weddings, Conferences, Presentations, Formal dinners, Court appearances, Charity events, Opera/Theatre.",Year-round
38,https://storage.googleapis.com/raven-media-bucket/image/outfits/38.jpeg,A semi-formal evening outfit featuring a relaxed blazer and leather sneakers.,"• navy suit
• white, pink or lt blue button down shirt
• black belt
• black dress shoes/chelsea boot","Formal dinners, Business meetings, Parties, Weddings, Theater, Charity events, Cocktail events, Formal presentations, Opera, Art galleries.",Year-round
39,https://storage.googleapis.com/raven-media-bucket/image/outfits/39.jpeg,"A casual and comfortable outfit, perfect for a vacation or relaxed outing.","• solid polo
• madras shorts
• brown leather woven belt, or fabric belt
• brown leather deck shoes","Beach, Picnics, Road trips, Amusement parks, Day trips, Casual weekend outings, BBQ parties, Casual hangouts, Shopping, Sightseeing.","Spring, Summer"
40,https://storage.googleapis.com/raven-media-bucket/image/outfits/40.jpeg,"A bold, streetwear-inspired outfit with a colorful bomber jacket and neutral joggers.","• strong color fabric bomber
• black zip hoodie
• white graphic tee
• neutral cargo joggers
• color ball cap
• white hype sneakers","Casual hangouts, Concerts, Streetwear occasions, Art exhibitions, Music festivals, Shopping, Urban exploration, Skateboarding, Movie nights, Graffiti events.","Spring, Fall, Mild Winter days"
41,https://storage.googleapis.com/raven-media-bucket/image/outfits/41.jpeg,"Casual and comfortable outfit, integrating a denim jacket with black jeans and sneakers.","• lt. wash denim jacket (chore or trucker)
 • gray tee
 • cool plaid button down shirt
 • black jeans/5 pocket bottoms
 • gray, white, or black sneakers","Day out with friends, Casual Fridays at work, Traveling, Casual party, Shopping, Movie nights, Concerts, Cafe hangouts, Sightseeing, Outdoor sports event.","Spring, Fall, Mild Winter days"
42,https://storage.googleapis.com/raven-media-bucket/image/outfits/42.jpeg,"Urban style featuring a varsity jacket, denim jeans, and combat boots.","• varsity jacket with contrast sleeves
• white button down shirt
• graphic tee
• color ball cap
• black status belt
• raw indigo denim jeans
• black combat boots","Casual hangouts, Concerts, Sport events, University lectures, Streetwear occasions, Skateboarding, Shopping, Movies, Music festivals, Night out.","Spring, Fall, Mild Winter days"
43,https://storage.googleapis.com/raven-media-bucket/image/outfits/43.jpeg,Stylish streetwear outfit featuring an oversized leather bomber and work boots.,"• color oversized leather bomber
• graphic hoodie
• black or color bucket hat
• status belt
• destructed denim jeans
• neutral heritage work boots","Urban exploration, Night out, Concerts, Streetwear occasions, Art exhibitions, Shopping, Music festivals, Casual hangouts, Skateboarding, Graffiti events.","Spring, Fall, Mild Winter days"
44,https://storage.googleapis.com/raven-media-bucket/image/outfits/44.jpeg,Unique blend of formal and casual style with an oversized blazer and denim jeans.,"• oversize black or color blazer
• color or black button down shirt or turtleneck
• raw indigo or black denim jeans
• status belt
• black or color status loafers/hype sneakers","Casual parties, Art galleries, Concerts, Night outs, Dinners, Fashion events, Casual Fridays at work, Shopping, Wine tastings, Museum visits.",Year-round
45,https://storage.googleapis.com/raven-media-bucket/image/outfits/45.jpeg,All black outfit featuring a slim or oversized black blazer.,"* slim or oversized black blazer
• printed button down shirt
• dark wash indigo or black jeans
• black status belt
• black casual boot or leather sneakers","Night outs, Concerts, Parties, Art galleries, Fashion events, Movie dates, Casual hangouts, Shopping, Dinners, Music festivals.",Year-round
46,https://storage.googleapis.com/raven-media-bucket/image/outfits/46.jpeg,"Dark, formal outfit with a pinstripe suit and black belt.","• dark gray or black pinstripe suit
• dark color or black button down shirt or turtleneck (no tie)
• black status belt
• black dress shoes/chelsea boot","Business meetings, Conferences, Formal presentations, Office wear, Formal dinners, Charity events, Weddings, Opera/Theatre, Court appearances, Political events.",Year-round
